Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Abalistes stellatus,1,2,Day,Invertivore,sand,3,5
Abudefduf abdominalis,3,2,Day,Planktivore,coral,2,3
Abudefduf bengalensis,3,2,Day,Planktivore,coral,3,3
Abudefduf concolor,3,2,Day,Planktivore,coral,2,3
Abudefduf conformis,3,2,Day,Planktivore,coral,2,2
Abudefduf notatus,3,2,Day,Planktivore,coral,2,3
Abudefduf saxatilis,3,2,Day,Planktivore,coral,3,3
Abudefduf septemfasciatus,3,2,Day,Planktivore,coral,2,3
Abudefduf sexfasciatus,3,2,Day,Planktivore,coral,1,3
Abudefduf sordidus,3,2,Day,Planktivore,coral,2,3
Abudefduf sparoides,3,2,Day,Planktivore,coral,2,3
Abudefduf troschelii,3,2,Day,Planktivore,coral,2,3
Abudefduf vaigiensis,3,2,Day,Planktivore,coral,2,3
Abudefduf whitleyi,3,2,Day,Planktivore,coral,2,2
Acanthaluteres brownii,2,2,Day,Omnivore,rock,2,5
Acanthaluteres spilomelanurus,2,2,Day,Omnivore,sand,2,2
Acanthaluteres vittiger,2,2,Day,Omnivore,rock,1,4
Acanthemblemaria crockeri,1,1,Day,Invertivore,coral,3,1
Acanthemblemaria hancocki,1,1,Day,Invertivore,rock,3,1
Acanthemblemaria spinosa,1,1,Day,Invertivore,coral,3,1
Acanthistius cinctus,1,2,Day,Piscivore,rock,5,4
Acanthistius ocellatus,1,2,Day,Piscivore,rock,5,5
Acanthistius pardalotus,1,2,Day,Piscivore,rock,5,5
Acanthistius patachonicus,1,2,Day,Piscivore,rock,4,5
Acanthistius sebastoides,1,2,Day,Piscivore,rock,4,4
Acanthistius serratus,1,2,Day,Piscivore,rock,5,4
Acanthochromis polyacanthus,3,2,Day,Planktivore,coral,2,2
Acanthocybium solandri,3,4,Day,Piscivore,water column,5,6
Acanthopagrus australis,2,2,Day,Invertivore,rock,3,5
Acanthopagrus latus,2,2,Day,Invertivore,rock,3,4
Acanthostracion polygonius,1,2,Day,Invertivore,coral,1,4
Acanthostracion quadricornis,1,2,Day,Invertivore,coral,2,5
Acanthurus achilles,1,2,Day,Grazer,coral,1,3
Acanthurus albipectoralis,3,2,Day,Grazer,coral,3,4
Acanthurus auranticavus,2,2,Day,Grazer,coral,1,4
Acanthurus bahianus,1,2,Day,Grazer,coral,1,4
Acanthurus bariene,1,2,Day,Grazer,coral,1,4
Acanthurus blochii,2,2,Day,Grazer,coral,1,4
Acanthurus chirurgus,1,2,Day,Grazer,coral,1,4
Acanthurus coeruleus,1,2,Day,Grazer,coral,1,4
Acanthurus dussumieri,2,2,Day,Grazer,coral,1,5
Acanthurus fowleri,1,2,Day,Grazer,coral,1,4
Acanthurus gahhm,1,2,Day,Grazer,coral,2,4
Acanthurus grammoptilus,1,2,Day,Grazer,coral,1,4
Acanthurus guttatus,3,2,Day,Grazer,coral,1,3
Acanthurus leucocheilus,1,2,Day,Grazer,coral,1,4
Acanthurus leucopareius,1,2,Day,Grazer,coral,1,3
Acanthurus leucosternon,2,2,Day,Grazer,coral,1,5
Acanthurus lineatus,1,2,Day,Grazer,coral,1,4
Acanthurus maculiceps,1,2,Day,Grazer,coral,1,4
Acanthurus mata,2,2,Day,Omnivore,coral,1,4
Acanthurus nigricans,1,2,Day,Grazer,coral,1,3
Acanthurus nigricauda,1,2,Day,Grazer,coral,2,4
Acanthurus nigrofuscus,1,2,Day,Grazer,coral,1,3
Acanthurus nigroris,2,2,Day,Grazer,coral,1,3
Acanthurus nubilus,1,2,Day,Grazer,coral,3,3
Acanthurus olivaceus,1,2,Day,Grazer,coral,1,4
