sp_name;aesthe_score
Abalistes_stellatus;1508.023
Abudefduf_abdominalis;1504.3175
Abudefduf_bengalensis;1385.1897
Abudefduf_concolor;1434.8481
Abudefduf_conformis;1421.0225
Abudefduf_luridus;1587.095
Abudefduf_notatus;1375.9985
Abudefduf_saxatilis;1476.2231
Abudefduf_septemfasciatus;1436.0403
Abudefduf_sexfasciatus;1652.0703
Abudefduf_sordidus;1363.285
Abudefduf_sparoides;1512.7744
Abudefduf_troschelii;1457.8928
Abudefduf_vaigiensis;1441.3163
Abudefduf_whitleyi;1478.0117
Acanthaluteres_brownii;1489.2302
Acanthaluteres_spilomelanurus;1512.3491
Acanthaluteres_vittiger;1573.7119
Acanthemblemaria_atrata;1260.7051
Acanthemblemaria_castroi;1418.4338
Acanthemblemaria_crockeri;1361.8452
Acanthemblemaria_hancocki;1362.3544
Acanthemblemaria_spinosa;1322.5325
Acanthemblemaria_stephensi;1365.5676
Acanthistius_cinctus;1602.2229
Acanthistius_ocellatus;1396.9666
Acanthistius_pardalotus;1310.5015
Acanthistius_patachonicus;1382.3656
Acanthistius_sebastoides;1315.4075
Acanthistius_serratus;1189.8064
Acanthochromis_polyacanthus;1499.7473
Acanthopagrus_australis;1255.3466
Acanthopagrus_latus;1187.185
Acanthostracion_polygonius;1690.079
Acanthostracion_quadricornis;1635.688
Acanthurus_achilles;1564.5798
Acanthurus_albipectoralis;1454.019
Acanthurus_auranticavus;1475.0842
Acanthurus_bahianus;1804.743
Acanthurus_bariene;1639.583
Acanthurus_blochii;1682.147
Acanthurus_chirurgus;1530.2114
Acanthurus_chronixis;1493.023
Acanthurus_coeruleus;1808.11
Acanthurus_dussumieri;1591.272
Acanthurus_fowleri;1586.1997
Acanthurus_gahhm;1459.8541
Acanthurus_grammoptilus;1640.4786
Acanthurus_guttatus;1604.0798
Acanthurus_leucocheilus;1572.432
Acanthurus_leucopareius;1469.2407
Acanthurus_leucosternon;1870.82
Acanthurus_lineatus;1917.0204
Acanthurus_maculiceps;1607.5024
Acanthurus_mata;1683.412
Acanthurus_nigricans;1709.461
Acanthurus_nigricauda;1370.9316
Acanthurus_nigrofuscus;1562.6637
Acanthurus_nigroris;1560.4371
Acanthurus_nubilus;1550.6538
Acanthurus_olivaceus;1649.809
Acanthurus_pyroferus;1665.0464
Acanthurus_reversus;1583.5986
Acanthurus_sohal;1698.0228
Acanthurus_tennentii;1662.25041852688
Acanthurus_thompsoni;1360.3678
Acanthurus_triostegus;1601.775
Acanthurus_tristis;1478.122
Acanthurus_xanthopterus;1486.7289
Achoerodus_gouldii;1513.0717
Achoerodus_viridis;1510.3435
Aetapcus_maculatus;1470.3533
Aethaloperca_rogaa;1588.5294
Afurcagobius_tamarensis;1368.8524
Aioliops_brachypterus;1476.381
Aioliops_novaeguineae;1254.8787
Albula_glossodonta;1237.746
Alectis_ciliaris;1336.7205
Alloclinus_holderi;1427.3304
Allomycterus_pilatus;1472.9896
Alphestes_immaculatus;1510.3021
Altrichthys_azurelineatus;1421.8921
Altrichthys_curatus;1462.4418
Aluterus_scriptus;1608.1896
Amanses_scopas;1466.009
Ambassis_jacksoniensis;1327.6875
Amblycirrhitus_bimacula;1394.8323
Amblycirrhitus_earnshawi;1349.9833
Amblycirrhitus_pinos;1454.9655
Amblyeleotris_fasciata;1357.9485
Amblyeleotris_guttata;1470.9946
Amblyeleotris_gymnocephala;1296.466
Amblyeleotris_japonica;1360.3741
Amblyeleotris_periophthalma;1454.2373
Amblyeleotris_steinitzi;1383.633
Amblyeleotris_sungami;1356.9629
Amblyeleotris_wheeleri;1444.8875
Amblyglyphidodon_aureus;1658.964
Amblyglyphidodon_batunai;1443.958
Amblyglyphidodon_curacao;1379.7534
Amblyglyphidodon_flavilatus;1461.699
Amblyglyphidodon_indicus;1521.4922
Amblyglyphidodon_leucogaster;1371.922
Amblyglyphidodon_melanopterus;1267.2938
Amblyglyphidodon_orbicularis;1411.5405
Amblyglyphidodon_ternatensis;1609.588
Amblygobius_buanensis;1307.338
Amblygobius_bynoensis;1301.5459
Amblygobius_decussatus;1491.854
Amblygobius_nocturnus;1213.3569
Amblygobius_phalaena;1594.4556
Amblyrhynchotes_honckenii;1424.1896
Ammodytes_tobianus;1270.6172
Amphichaetodon_howensis;1707.7839
Amphichthys_cryptocentrus;1289.9777
Amphiprion_akallopisos;1613.5715
Amphiprion_akindynos;1582.4883
Amphiprion_allardi;1701.6387
Amphiprion_bicinctus;1709.8564
Amphiprion_chrysopterus;1777.805
Amphiprion_clarkii;1607.4429
Amphiprion_ephippium;1708.5635
Amphiprion_frenatus;1687.4753
Amphiprion_fuscocaudatus;1618.0498
Amphiprion_latezonatus;1573.0422
Amphiprion_leucokranos;1566.637
Amphiprion_mccullochi;1609.5696
Amphiprion_melanopus;1726.4187
Amphiprion_nigripes;1541.7242
Amphiprion_ocellaris;1703.2319
Amphiprion_percula;1754.4348
Amphiprion_perideraion;1575.5327
Amphiprion_rubrocinctus;1657.7715
Amphiprion_sandaracinos;1553.1953
Anampses_caeruleopunctatus;1730.1138
Anampses_cuvier;1674.7795
Anampses_elegans;1612.0044
Anampses_femininus;1688.448
Anampses_geographicus;1399.2029
Anampses_lennardi;1769.8582
Anampses_lineatus;1680.4567
Anampses_melanurus;1682.1074
Anampses_meleagrides;1854.134
Anampses_neoguinaicus;1542.8147
Anampses_twistii;1602.05
Anarrhichthys_ocellatus;1486.7755
Anisotremus_caesius;1278.0325
Anisotremus_davidsonii;1181.9349
Anisotremus_interruptus;1287.9479
Anisotremus_scapularis;1330.359
Anisotremus_surinamensis;1311.5085
Anisotremus_taeniatus;1530.6821
Anisotremus_virginicus;1660.9802
Anoplocapros_amygdaloides;1654.1633
Anoplocapros_inermis;1810.0027
Anoplocapros_lenticularis;1706.7864
Anyperodon_leucogrammicus;1682.9514
Aphareus_furca;1235.55
Aphareus_rutilans;1323.7504
Aploactisoma_milesii;1316.3699
Aplodactylus_arctidens;1283.1444
Aplodactylus_etheridgii;1581.3145
Aplodactylus_lophodon;1321.6139
Aplodactylus_westralis;1318.6613
Apogon_atradorsatus;1289.0033
