"sp_name","esthe_score","file_name","copyright"
"Abalistes_stellatus","1508.023","Abalistes_stellatus_A_2","NO"
"Abudefduf_abdominalis","1504.3175","Abudefduf_abdominalis_A_1","NO"
"Abudefduf_bengalensis","1385.1897","Abudefduf_bengalensis_A_1","YES"
"Abudefduf_concolor","1434.8481","Abudefduf_concolor_A_2","YES"
"Abudefduf_conformis","1421.0225","Abudefduf_conformis_A_2","YES"
"Abudefduf_luridus","1587.095","Abudefduf_luridus_J_2","YES"
"Abudefduf_notatus","1375.9985","Abudefduf_notatus_A_1","YES"
"Abudefduf_saxatilis","1476.2231","Abudefduf_saxatilis_A_2","NO"
"Abudefduf_septemfasciatus","1436.0403","Abudefduf_septemfasciatus_A_2","YES"
"Abudefduf_sexfasciatus","1652.0703","Abudefduf_sexfasciatus_A_2","YES"
"Abudefduf_sordidus","1363.285","Abudefduf_sordidus_A_3","YES"
"Abudefduf_sparoides","1512.7744","Abudefduf_sparoides_A_1","YES"
"Abudefduf_troschelii","1457.8928","Abudefduf_troschelii_A_1","YES"
"Abudefduf_vaigiensis","1441.3163","Abudefduf_vaigiensis_A_1","NO"
"Abudefduf_whitleyi","1478.0117","Abudefduf_whitleyi_A_1","YES"
"Acanthaluteres_brownii","1489.2302","Acanthaluteres_brownii_M_1","YES"
"Acanthaluteres_spilomelanurus","1512.3491","Acanthaluteres_spilomelanurus_M_2","YES"
"Acanthaluteres_vittiger","1573.7119","Acanthaluteres_vittiger_M_2","YES"
"Acanthemblemaria_atrata","1260.7051","Acanthemblemaria_atrata_A_1","YES"
"Acanthemblemaria_castroi","1418.4338","Acanthemblemaria_castroi_A_2","YES"
"Acanthemblemaria_crockeri","1361.8452","Acanthemblemaria_crockeri_A_1","YES"
"Acanthemblemaria_hancocki","1362.3544","Acanthemblemaria_hancocki_A_3","YES"
"Acanthemblemaria_spinosa","1322.5325","Acanthemblemaria_spinosa_A_1","NO"
"Acanthemblemaria_stephensi","1365.5676","Acanthemblemaria_stephensi_A_1","YES"
"Acanthistius_cinctus","1602.2229","Acanthistius_cinctus_A_1","YES"
"Acanthistius_ocellatus","1396.9666","Acanthistius_ocellatus_A_2","YES"
