old,new
Abudefduf_luridus,Similiparma_lurida
Arripis_georgianus,Arripis_georgiana
Carangoides_bartholomaei,Caranx_bartholomaei
Cheilodactylus_ephippium,Morwong_ephippium
Cheilodactylus_francisi,Goniistius_francisi
Cheilodactylus_fuscus,Morwong_fuscus
Cheilodactylus_gibbosus,Goniistius_gibbosus
Cheilodactylus_nigripes,Pseudogoniistius_nigripes
Cheilodactylus_rubrolabiatus,Goniistius_rubrolabiatus
Cheilodactylus_spectabilis,Chirodactylus_spectabilis
Cheilodactylus_vestitus,Goniistius_vestitus
Cirrhilabrus_scottorum,Cirrhilabrus_spp.
Ecsenius_frontalis,Ecsenius_spp.
Kyphosus_analogus,Kyphosus_vaigiensis
Labracinus_cyclophthalmus,Labracinus_spp.
Ostracion_cubicus,Ostracion_cubicum
Ostracion_immaculatus,Ostracion_immaculatum
Ostracion_solorensis,Ostracion_solorense
Pomacentrus_australis,Pomacentrus_spp.
Pseudanthias_tuka,Pseudanthias_spp.
Pseudocaranx_georgianus,Pseudocaranx_dentex
Stephanolepis_hispidus,Stephanolepis_hispida
Thysanophrys_cirronasa,Thysanophrys_cirronasus
