"SPECIES_NAME" "species"
"1" "Amblyeleotris_spp." "Amblyeleotris_spp."
"2" "Amphiprion_akallopisos" "Amphiprion_akallopisos"
"3" "Chromis_dimidiata" "Chromis_dimidiata"
"4" "Cirrhilabrus_exquisitus" "Cirrhilabrus_exquisitus"
"5" "Dascyllus_carneus" "Dascyllus_carneus"
"6" "Labroides_dimidiatus" "Labroides_dimidiatus"
"7" "Pseudanthias_squamipinnis" "Pseudanthias_squamipinnis"
"8" "Amblygobius_spp." "Amblygobius_spp."
"9" "Canthigaster_valentini" "Canthigaster_valentini"
"10" "Centropyge_eibli" "Centropyge_eibli"
"11" "Centropyge_multispinis" "Centropyge_multispinis"
"12" "Cheilinus_trilobatus" "Cheilinus_trilobatus"
"13" "Dascyllus_trimaculatus" "Dascyllus_trimaculatus"
"14" "Pseudocheilinus_hexataenia" "Pseudocheilinus_hexataenia"
"15" "Chaetodon_guttatissimus" "Chaetodon_guttatissimus"
"16" "Chaetodon_kleinii" "Chaetodon_kleinii"
"17" "Chromis_spp." "Chromis_spp."
"18" "Nemateleotris_magnifica" "Nemateleotris_magnifica"
"19" "Pomacentrus_bankanensis" "Pomacentrus_bankanensis"
"20" "Ptereleotris_heteroptera" "Ptereleotris_heteroptera"
"21" "Apolemichthys_trimaculatus" "Apolemichthys_trimaculatus"
"22" "Chaetodon_collare" "Chaetodon_collare"
"23" "Chaetodon_vagabundus" "Chaetodon_vagabundus"
"24" "Ctenochaetus_binotatus" "Ctenochaetus_binotatus"
"25" "Labroides_bicolor" "Labroides_bicolor"
"26" "Scolopsis_bilineata" "Scolopsis_bilineata"
"27" "Balistapus_undulatus" "Balistapus_undulatus"
"28" "Cephalopholis_urodeta" "Cephalopholis_urodeta"
"29" "Chaetodon_falcula" "Chaetodon_falcula"
"30" "Forcipiger_flavissimus" "Forcipiger_flavissimus"
"31" "Halichoeres_hortulanus" "Halichoeres_hortulanus"
"32" "Odonus_niger" "Odonus_niger"
"33" "Parapercis_tetracantha" "Parapercis_tetracantha"
"34" "Pseudocheilinus_evanidus" "Pseudocheilinus_evanidus"
"35" "Pterois_antennata" "Pterois_antennata"
"36" "Thalassoma_lunare" "Thalassoma_lunare"
"37" "Acanthurus_leucosternon" "Acanthurus_leucosternon"
"38" "Melichthys_indicus" "Melichthys_indicus"
"39" "Monotaxis_grandoculis" "Monotaxis_grandoculis"
"40" "Parapercis_hexophtalma" "Parapercis_hexophtalma"
"41" "Sufflamen_chrysopterum" "Sufflamen_chrysopterum"
"42" "Parupeneus_cyclostomus" "Parupeneus_cyclostomus"
"43" "Chlorurus_sordidus" "Chlorurus_sordidus"
"44" "Scarus_niger" "Scarus_niger"
"45" "Cephalopholis_argus" "Cephalopholis_argus"
"46" "Chromis_viridis" "Chromis_viridis"
"47" "Chromis_weberi" "Chromis_weberi"
"48" "Halichoeres_nebulosus" "Halichoeres_nebulosus"
"49" "Halichoeres_scapularis" "Halichoeres_scapularis"
"50" "Hologymnosus_annulatus" "Hologymnosus_annulatus"
"51" "Meiacanthus_smithi" "Meiacanthus_smithi"
"52" "Paracirrhites_forsteri" "Paracirrhites_forsteri"
"53" "Amphiprion_clarkii" "Amphiprion_clarkii"
"54" "Coris_cuvieri" "Coris_cuvieri"
"55" "Parupeneus_macronemus" "Parupeneus_macronemus"
"56" "Pomacentrus_alleni" "Pomacentrus_alleni"
"57" "Thalassoma_jansenii" "Thalassoma_jansenii"
"58" "Gomphosus_caeruleus" "Gomphosus_caeruleus"
"59" "Hemitaurichthys_zoster" "Hemitaurichthys_zoster"
"60" "Zebrasoma_scopas" "Zebrasoma_scopas"
"61" "Acanthurus_tristis" "Acanthurus_tristis"
"62" "Chaetodon_trifasciatus" "Chaetodon_trifasciatus"
"63" "Ctenochaetus_truncatus" "Ctenochaetus_truncatus"
"64" "Ostracion_cubicus" "Ostracion_cubicum"
"65" "Acanthurus_nigricauda" "Acanthurus_nigricauda"
"66" "Epibulus_insidiator" "Epibulus_insidiator"
"67" "Epinephelus_fasciatus" "Epinephelus_fasciatus"
"68" "Pterois_volitans" "Pterois_volitans"
"69" "Sufflamen_bursa" "Sufflamen_bursa"
"70" "Zanclus_cornutus" "Zanclus_cornutus"
"71" "Priacanthus_hamrur" "Priacanthus_hamrur"
"72" "Epinephelus_spp." "Epinephelus_spp."
"73" "Anampses_meleagrides" "Anampses_meleagrides"
"74" "Chromis_ternatensis" "Chromis_ternatensis"
"75" "Chrysiptera_talboti" "Chrysiptera_talboti"
"76" "Halichoeres_cosmetus" "Halichoeres_cosmetus"
"77" "Thalassoma_amblycephalum" "Thalassoma_amblycephalum"
"78" "Lepidozygus_tapeinosoma" "Lepidozygus_tapeinosoma"
"79" "Plectroglyphidodon_dickii" "Plectroglyphidodon_dickii"
"80" "Plectroglyphidodon_lacrymatus" "Plectroglyphidodon_lacrymatus"
"81" "Pomacentrus_chrysurus" "Pomacentrus_chrysurus"
"82" "Cheilinus_chlorourus" "Cheilinus_chlorourus"
"83" "Labrichthys_spp." "Labrichthys_spp."
"84" "Paracirrhites_arcatus" "Paracirrhites_arcatus"
"85" "Stethojulis_bandanensis" "Stethojulis_bandanensis"
"86" "Acanthurus_leucocheilus" "Acanthurus_leucocheilus"
"87" "Bodianus_axillaris" "Bodianus_axillaris"
"88" "Chaetodon_meyeri" "Chaetodon_meyeri"
"89" "Ctenochaetus_cyanocheilus" "Ctenochaetus_cyanocheilus"
"90" "Gnathodentex_aureolineatus" "Gnathodentex_aureolineatus"
"91" "Amanses_scopas" "Amanses_scopas"
"92" "Labrichthys_unilineatus" "Labrichthys_unilineatus"
"93" "Pterocaesio_tile" "Pterocaesio_tile"
"94" "Sargocentron_caudimaculatum" "Sargocentron_caudimaculatum"
