Species,Gregariousness,Water.Column,Diet,Habitat,Trophic.Level,BodySize,Activity,Trophic.Level.Cat,BodySize.Cat
Abalistes stellatus,1,2,Invertivore,sand,3.4,60,Day,3,5
Abudefduf abdominalis,3,2,Planktivore,coral,3,30,Day,2,3
Abudefduf bengalensis,3,2,Planktivore,coral,3.1,17,Day,3,3
Abudefduf concolor,3,2,Planktivore,coral,2.7,19,Day,2,3
Abudefduf conformis,3,2,Planktivore,coral,2.8,13.1,Day,2,2
Abudefduf notatus,3,2,Planktivore,coral,2.7,17,Day,2,3
Abudefduf saxatilis,3,2,Planktivore,coral,3.4,22.9,Day,3,3
Abudefduf septemfasciatus,3,2,Planktivore,coral,3,23,Day,2,3
Abudefduf sexfasciatus,3,2,Planktivore,coral,2.4,16,Day,1,3
Abudefduf sordidus,3,2,Planktivore,coral,2.8,23,Day,2,3
Abudefduf sparoides,3,2,Planktivore,coral,3,16,Day,2,3
Abudefduf troschelii,3,2,Planktivore,coral,3,20,Day,2,3
Abudefduf vaigiensis,3,2,Planktivore,coral,2.6,20,Day,2,3
Abudefduf whitleyi,3,2,Planktivore,coral,2.6,14,Day,2,2
Acanthaluteres brownii,2,2,Omnivore,rock,2.8,55,Day,2,5
Acanthaluteres spilomelanurus,2,2,Omnivore,sand,2.9,14,Day,2,2
Acanthaluteres vittiger,2,2,Omnivore,rock,2,35,Day,1,4
Acanthemblemaria crockeri,1,1,Invertivore,coral,3.4,6,Day,3,1
Acanthemblemaria hancocki,1,1,Invertivore,rock,3.4,4.5,Day,3,1
Acanthemblemaria spinosa,1,1,Invertivore,coral,3.1,2.8,Day,3,1
Acanthistius cinctus,1,2,Piscivore,rock,4.1,50,Day,5,4
Acanthistius ocellatus,1,2,Piscivore,rock,4.1,64,Day,5,5
Acanthistius pardalotus,1,2,Piscivore,rock,4.1,65,Day,5,5
Acanthistius patachonicus,1,2,Piscivore,rock,4,65,Day,4,5
Acanthistius sebastoides,1,2,Piscivore,rock,4,35,Day,4,4
Acanthistius serratus,1,2,Piscivore,rock,4.1,50,Day,5,4
Acanthochromis polyacanthus,3,2,Planktivore,coral,2.7,14,Day,2,2
Acanthocybium solandri,3,4,Piscivore,water column,4.3,250,Day,5,6
Acanthopagrus australis,2,2,Invertivore,rock,3.1,66,Day,3,5
Acanthopagrus latus,2,2,Invertivore,rock,3.2,50,Day,3,4
Acanthostracion polygonius,1,2,Invertivore,coral,2,50,Day,1,4
Acanthostracion quadricornis,1,2,Invertivore,coral,3,55,Day,2,5
Acanthurus achilles,1,2,Grazer,coral,2,24,Day,1,3
Acanthurus albipectoralis,3,2,Grazer,coral,3.4,33,Day,3,4
Acanthurus auranticavus,2,2,Grazer,coral,2,45,Day,1,4
Acanthurus bahianus,1,2,Grazer,coral,2,38.1,Day,1,4
Acanthurus bariene,1,2,Grazer,coral,2,50,Day,1,4
Acanthurus blochii,2,2,Grazer,coral,2,45,Day,1,4
Acanthurus chirurgus,1,2,Grazer,coral,2,39,Day,1,4
Acanthurus coeruleus,1,2,Grazer,coral,2,39,Day,1,4
Acanthurus dussumieri,2,2,Grazer,coral,2,54,Day,1,5
Acanthurus fowleri,1,2,Grazer,coral,2,45,Day,1,4
Acanthurus gahhm,1,2,Grazer,coral,2.8,40,Day,2,4
Acanthurus grammoptilus,1,2,Grazer,coral,2.1,35,Day,1,4
Acanthurus guttatus,3,2,Grazer,coral,2,26,Day,1,3
Acanthurus leucocheilus,1,2,Grazer,coral,2,45,Day,1,4
Acanthurus leucopareius,1,2,Grazer,coral,2,24,Day,1,3
Acanthurus leucosternon,2,2,Grazer,coral,2,54,Day,1,5
Acanthurus lineatus,1,2,Grazer,coral,2,38,Day,1,4
Acanthurus maculiceps,1,2,Grazer,coral,2,40,Day,1,4
Acanthurus mata,2,2,Omnivore,coral,2.5,50,Day,1,4
Acanthurus nigricans,1,2,Grazer,coral,2,21.3,Day,1,3
Acanthurus nigricauda,1,2,Grazer,coral,3,40,Day,2,4
Acanthurus nigrofuscus,1,2,Grazer,coral,2,21,Day,1,3
Acanthurus nigroris,2,2,Grazer,coral,2,25,Day,1,3
Acanthurus nubilus,1,2,Grazer,coral,3.4,26,Day,3,3
Acanthurus olivaceus,1,2,Grazer,coral,2.2,35,Day,1,4
Acanthurus pyroferus,1,2,Grazer,coral,2,25,Day,1,3
