"sp_name";"aesthe_score";"aesthe_effect"
"Abalistes stellatus";1508,023;-0,00356692737606436
"Abudefduf abdominalis";1504,3175;-0,00387686894168296
"Abudefduf bengalensis";1385,1897;-0,0142706228285484
"Abudefduf concolor";1434,8481;-0,00983331524251818
"Abudefduf conformis";1421,0225;-0,0110531070203556
"Abudefduf notatus";1375,9985;-0,0151093383077034
"Abudefduf saxatilis";1476,2231;-0,00625192808424701
"Abudefduf septemfasciatus";1436,0403;-0,00972868200131818
"Abudefduf sexfasciatus";1652,0703;0,00792632999384781
"Abudefduf sordidus";1363,285;-0,0162787518283005
"Abudefduf sparoides";1512,7744;-0,00317061539734673
"Abudefduf troschelii";1457,8928;-0,00782603709396773
"Abudefduf vaigiensis";1441,3163;-0,00926667513348674
"Abudefduf whitleyi";1478,0117;-0,00609938057661542
"Acanthaluteres brownii";1489,2302;-0,0051467582513421
"Acanthaluteres spilomelanurus";1512,3491;-0,00320603870596601
"Acanthaluteres vittiger";1573,7119;0,00180461921017489
"Acanthemblemaria atrata";1260,7051;-0,0261337900330652
"Acanthemblemaria castroi";1418,4338;-0,0112828189243261
"Acanthemblemaria crockeri";1361,8452;-0,0164118744308892
"Acanthemblemaria hancocki";1362,3544;-0,0163647781815769
"Acanthemblemaria spinosa";1322,5325;-0,0201021359789508
"Acanthemblemaria stephensi";1365,5676;-0,016067992559535
"Acanthistius cinctus";1602,2229;0,00406660246558555
"Acanthistius ocellatus";1396,9666;-0,0132040539598937
"Acanthistius pardalotus";1310,5015;-0,0212534270294738
"Acanthistius patachonicus";1382,3656;-0,0145277338896199
"Acanthistius sebastoides";1315,4075;-0,0207826825625075
"Acanthistius serratus";1189,8064;-0,033425671431795
"Acanthochromis polyacanthus";1499,7473;-0,00426019036418589
"Acanthopagrus australis";1255,3466;-0,0266704030179994
"Acanthopagrus latus";1187,185;-0,0337035421012097
"Acanthostracion polygonius";1690,079;0,0107919113295068
"Acanthostracion quadricornis";1635,688;0,00667083370652687
"Acanthurus achilles";1564,5798;0,00107143108452296
"Acanthurus albipectoralis";1454,019;-0,0081612309744769
"Acanthurus auranticavus";1475,0842;-0,00634915981783942
"Acanthurus bahianus";1804,743;0,0190617070544355
"Acanthurus bariene";1639,583;0,00697047197136611
"Acanthurus blochii";1682,147;0,0101992539716031
"Acanthurus chirurgus";1530,2114;-0,00172679410581154
"Acanthurus chronixis";1493,023;-0,00482631398161692
"Acanthurus coeruleus";1808,11;0,0192965241961831
"Acanthurus dussumieri";1591,272;0,0032025857688301
"Acanthurus fowleri";1586,1997;0,00280036873757747
"Acanthurus gahhm";1459,8541;-0,0076566683276852
"Acanthurus grammoptilus";1640,4786;0,00703926888294927
"Acanthurus guttatus";1604,0798;0,00421252450496568
"Acanthurus leucocheilus";1572,432;0,0017021167410717
"Acanthurus leucopareius";1469,2407;-0,00684922283099569
"Acanthurus leucosternon";1870,82;0,0235918310063994
"Acanthurus lineatus";1917,0204;0,0266651840258158
"Acanthurus maculiceps";1607,5024;0,00448104294460825
"Acanthurus mata";1683,412;0,0102939583775477
"Acanthurus nigricans";1709,461;0,0122284588139831
"Acanthurus nigricauda";1370,9316;-0,0155741018617389
"Acanthurus nigrofuscus";1562,6637;0,000917050253874468
"Acanthurus nigroris";1560,4371;0,000737414358358613
"Acanthurus nubilus";1550,6538;-5,49244879894453e-05
"Acanthurus olivaceus";1649,809;0,0077537724686083
"Acanthurus pyroferus";1665,0464;0,00891197946880519
"Acanthurus reversus";1583,5986;0,00259361071734287
"Acanthurus sohal";1698,0228;0,0113826691683634
"Acanthurus tennentii";1662,25041852688;0,00870025078711817
"Acanthurus thompsoni";1360,3678;-0,016548619879488
"Acanthurus triostegus";1601,775;0,00403137951859895
"Acanthurus tristis";1478,122;-0,00608997926848964
"Acanthurus xanthopterus";1486,7289;-0,00535853377962708
"Achoerodus gouldii";1513,0717;-0,00314585914380007
"Achoerodus viridis";1510,3435;-0,00337321983293803
"Aetapcus maculatus";1470,3533;-0,00675385792814664
"Aethaloperca rogaa";1588,5294;0,00298526590223673
"Afurcagobius tamarensis";1368,8524;-0,0157653146222391
"Aioliops brachypterus";1476,381;-0,0062384535501239
"Aioliops novaeguineae";1254,8787;-0,0267173683281207
"Albula glossodonta";1237,746;-0,0284492276115792
"Alectis ciliaris";1336,7205;-0,0187578165064353
"Alloclinus holderi";1427,3304;-0,0104951142646138
"Allomycterus pilatus";1472,9896;-0,00652817904080745
"Alphestes immaculatus";1510,3021;-0,00337667315762643
"Altrichthys azurelineatus";1421,8921;-0,0109760357393673
"Altrichthys curatus";1462,4418;-0,00743355439197039
"Aluterus scriptus";1608,1896;0,00453488796662071
"Amanses scopas";1466,009;-0,00712663340310448
"Ambassis jacksoniensis";1327,6875;-0,0196120366172724
"Amblycirrhitus bimacula";1394,8323;-0,0133966770137021
"Amblycirrhitus earnshawi";1349,9833;-0,0175140014621931
"Amblycirrhitus pinos";1454,9655;-0,00807924943430922
"Amblyeleotris fasciata";1357,9485;-0,0167728669082396
"Amblyeleotris guttata";1470,9946;-0,00669892260318001
"Amblyeleotris gymnocephala";1296,466;-0,0226099692473551
"Amblyeleotris japonica";1360,3741;-0,0165480364477491
"Amblyeleotris periophthalma";1454,2373;-0,00814231808408791
"Amblyeleotris steinitzi";1383,633;-0,0144122826437619
"Amblyeleotris sungami";1356,9629;-0,0168643375864912
"Amblyeleotris wheeleri";1444,8875;-0,00895491236669649
"Amblyglyphidodon aureus";1658,964;0,00845092744268494
"Amblyglyphidodon batunai";1443,958;-0,00903598269653966
"Amblyglyphidodon curacao";1379,7534;-0,0147660212552112
"Amblyglyphidodon flavilatus";1461,699;-0,00749755888627029
"Amblyglyphidodon indicus";1521,4922;-0,0024466943451426
"Amblyglyphidodon leucogaster";1371,922;-0,0154831220844373
"Amblyglyphidodon melanopterus";1267,2938;-0,0254770996098914
"Amblyglyphidodon orbicularis";1411,5405;-0,0118965560479413
"Amblyglyphidodon ternatensis";1609,588;0,00464438749916091
"Amblygobius buanensis";1307,338;-0,0215579092095071
"Amblygobius bynoensis";1301,5459;-0,0221173045683458
"Amblygobius decussatus";1491,854;-0,00492499302721394
"Amblygobius nocturnus";1213,3569;-0,0309564070106482
"Amblygobius phalaena";1594,4556;0,00345438062227208
"Amblyrhynchotes honckenii";1424,1896;-0,0107726384793696
"Ammodytes tobianus";1270,6172;-0,0251471532645208
"Amphichaetodon howensis";1707,7839;0,012104801520604
"Amphichthys cryptocentrus";1289,9777;-0,02324203993506
"Amphiprion akallopisos";1613,5715;0,00495578856296455
"Amphiprion akindynos";1582,4883;0,00250525098871196
"Amphiprion allardi";1701,6387;0,0116506586475009
"Amphiprion bicinctus";1709,8564;0,0122575950936603
"Amphiprion chrysopterus";1777,805;0,0171671034364312
"Amphiprion clarkii";1607,4429;0,00447637978560387
"Amphiprion ephippium";1708,5635;0,0121622987155825
"Amphiprion frenatus";1687,4753;0,0105976772034074
"Amphiprion fuscocaudatus";1618,0498;0,00530495287333181
"Amphiprion latezonatus";1573,0422;0,00175099581037833
"Amphiprion leucokranos";1566,637;0,00123697006887352
"Amphiprion mccullochi";1609,5696;0,00464294733356878
"Amphiprion melanopus";1726,4187;0,0134720263364245
"Amphiprion nigripes";1541,7242;-0,000782499012178763
"Amphiprion ocellaris";1703,2319;0,0117685566818989
"Amphiprion percula";1754,4348;0,0155000273062761
"Amphiprion perideraion";1575,5327;0,00195029679957967
"Amphiprion rubrocinctus";1657,7715;0,00836033657615117
"Amphiprion sandaracinos";1553,1953;0,000151388447660354
"Anampses caeruleopunctatus";1730,1138;0,0137413797994189
"Anampses cuvier";1674,7795;0,00964626578203034
"Anampses elegans";1612,0044;0,00483337590560362
"Anampses femininus";1688,448;0,0106702749605174
"Anampses geographicus";1399,2029;-0,0130025407556314
"Anampses lennardi";1769,8582;0,0166027028282735
"Anampses lineatus";1680,4567;0,0100725981990913
"Anampses melanurus";1682,1074;0,0101962881624343
"Anampses meleagrides";1854,134;0,0224631503636909
"Anampses neoguinaicus";1542,8147;-0,000693420637769885
"Anampses twistii";1602,05;0,00405300674146251
"Anarrhichthys ocellatus";1486,7755;-0,00535458507928039
"Anisotremus caesius";1278,0325;-0,0244140643536202
"Anisotremus davidsonii";1181,9349;-0,0342619069788769
"Anisotremus interruptus";1287,9479;-0,0234404299477727
"Anisotremus scapularis";1330,359;-0,0193587981961611
"Anisotremus surinamensis";1311,5085;-0,0211566589782994
"Anisotremus taeniatus";1530,6821;-0,00168804757451875
"Anisotremus virginicus";1660,9802;0,00860394445782634
"Anoplocapros amygdaloides";1654,1633;0,00808583436815992
"Anoplocapros inermis";1810,0027;0,019428330620296
"Anoplocapros lenticularis";1706,7864;0,0120311954379834
"Anyperodon leucogrammicus";1682,9514;0,010259483733834
"Aphareus furca";1235,55;-0,0286729416313288
"Aphareus rutilans";1323,7504;-0,0199861749027384
"Aploactisoma milesii";1316,3699;-0,0206905435980085
"Aplodactylus arctidens";1283,1444;-0,0239111660199041
"Aplodactylus etheridgii";1581,3145;0,00241177037269289
"Aplodactylus lophodon";1321,6139;-0,020189670187193
"Aplodactylus westralis";1318,6613;-0,0204714386914993
"Apogon atradorsatus";1289,0033;-0,0233372375351316
"Apogon atricaudus";1381,7433;-0,0145844598040649
"Apogon binotatus";1338,3337;-0,0186058693675781
"Apogon dovii";1332,575;-0,0191491233658578
"Apogon imberbis";1402,5764;-0,0126991629199989
"Apogon lachneri";1403,3408;-0,0126305220650028
"Apogon maculatus";1471,7048;-0,00663811307660133
"Apogon pacificus";1433,2057;-0,00997760268539195
"Apogon retrosella";1254,2197;-0,0267835449475247
"Apogon townsendi";1412,863;-0,0117785767471282
"Apogonichthyoides timorensis";1356,2324;-0,0169321760528726
"Apolemichthys trimaculatus";1721,1812;0,0130892506383056
"Aprion virescens";1192,8422;-0,0331046380141411
"Aracana aurita";1985,3121;0,0310750444187183
"Aracana ornata";1912,028;0,0263366687179292
"Archamia bleekeri";1267,3857;-0,0254679641733359
"Arcos poecilophthalmos";1404,7362;-0,0125053156477129
"Arenigobius frenatus";1259,5559;-0,0262486812885029
"Argyrosomus hololepidotus";1193,0015;-0,0330878147356584
"Argyrosomus japonicus";1282,3218;-0,023991956328956
"Arothron caeruleopunctatus";1481,0411;-0,00584142738551354
"Arothron diadematus";1448,42;-0,00864728523219538
"Arothron hispidus";1590,9263;0,00317521361396478
"Arothron inconditus";1508,8948;-0,00349411750768143
"Arothron manilensis";1421,7654;-0,0109872620272397
"Arothron mappa";1626,3552;0,00594995817860581
"Arothron meleagris";1483,233;-0,0056551160396878
"Arothron nigropunctatus";1548,8842;-0,000198776201129469
"Arothron stellatus";1627,2023;0,00601555957014723
"Arripis georgiana";1172,4537;-0,0352765758943137
"Arripis trutta";1209,6833;-0,0313384114643597
"Arripis truttacea";1193,5466;-0,0330302650647701
"Arripis xylabion";1323,1104;-0,0200470985264331
"Artedius harringtoni";1519,0605;-0,00264820332241177
"Aspasmogaster tasmaniensis";1287,8165;-0,0234532835861025
"Aspidontus dussumieri";1356,3611;-0,0169202215732217
"Aspidontus taeniatus";1523,808;-0,00225508889030186
"Assessor flavissimus";1551,2413;-7,20260011364739e-06
"Assessor macneilli";1625,3274;0,00587031706439435
"Assessor randalli";1622,0111;0,00561300316454852
"Assiculus punctatus";1581,9586;0,00246307463691607
"Asterropteryx striata";1246,0698;-0,0276048421955436
"Atherina hepsetus";1307,5529;-0,0215372020900269
"Atherina presbyter";1151,1667;-0,0375849079154382
"Atherinomorus vaigiensis";1158,4246;-0,0367931104240875
"Atractoscion aequidens";1199,2463;-0,0324300808705887
"Atrosalarias holomelas";1284,4121;-0,0237867623010644
"Atule mate";1226,9922;-0,0295485643999286
"Atypichthys latus";1567,704;0,00132274394555602
"Atypichthys strigatus";1565,426;0,00113954953116995
"Aulacocephalus temminckii";1642,093;0,00716318671954818
"Aulorhynchus flavidus";1355,2527;-0,0170232140619044
"Austrolabrus maculatus";1408,3899;-0,0121780648032548
"Axoclinus cocoensis";1331,5393;-0,0192470764221124
"Axoclinus lucillae";1466,4539;-0,0070884067100508
"Axoclinus multicinctus";1400,9381;-0,0128464035003843
"Axoclinus rubinoffi";1477,7041;-0,00612560225619559
"Azurina eupalama";1339,9508;-0,018453738595777
"Balistapus undulatus";2007,7928;0,0324935810192778
"Balistes capriscus";1709,5105;0,0122321067445618
"Balistes polylepis";1553,6353;0,000187072317947574
"Balistes punctatus";1738,427;0,0143452715537813
"Balistes vetula";1785,4336;0,0177065363598268
"Balistoides conspicillum";1706,7241;0,0120265968589992
"Balistoides viridescens";1607,5735;0,0044866149973355
"Bathygobius krefftii";1359,6163;-0,0166182343424701
"Bathygobius lineatus";1372,9199;-0,015391519747428
"Bathystethus cultratus";1183,7335;-0,0340703413231005
"Batrachoides boulengeri";1271,5853;-0,025051202829903
"Belone belone";1122,0869;-0,0408082326828494
"Belonoperca chabanaudi";1562,605;0,00091231778697044
"Blenniella chrysospilos";1324,5312;-0,0199118879573791
"Bodianus albotaeniatus";1615,5721;0,00511189104489622
"Bodianus anthioides";1610,002;0,00467678687324974
"Bodianus axillaris";1578,839;0,00221439557960364
"Bodianus bilunulatus";1550,6284;-5,69881058439778e-05
"Bodianus diana";1474,7756;-0,00637551896741187
"Bodianus dictynna";1529,6726;-0,00177116104571883
"Bodianus diplotaenia";1560,547;0,000746286796560185
"Bodianus eclancheri";1625,4331;0,0058785097607705
"Bodianus frenchii";1482,0952;-0,00575179456775737
"Bodianus loxozonus";1675,0034;0,0096631070303551
"Bodianus mesothorax";1547,391;-0,000320287120630916
"Bodianus perditio";1485,3657;-0,00547410077597075
"Bodianus rufus";1562,0542;0,000867902944508663
"Bodianus scrofa";1580,8108;0,00237163477579713
"Bodianus unimaculatus";1484,382;-0,00555756108322941
"Bolbometopon muricatum";1415,751;-0,0115213237164422
"Boops boops";1152,6465;-0,0374230653824141
"Boopsoidea inornata";1278,2781;-0,0243898567617041
"Boreogadus saida";1260,3853;-0,0261657515136721
"Bothragonus occidentalis";1277,2062;-0,0244955428748156
"Bovichtus angustifrons";1311,2366;-0,0211827799886598
"Bovichtus argentinus";1345,0474;-0,0179754677378135
"Brachaluteres jacksonianus";1705,931;0,0119680407236738
"Brachionichthys hirsutus";1653,0039;0,00799750319298688
"Brachyistius frenatus";1290,1072;-0,0232293933689584
"Bryaninops amplus";1353,7577;-0,0171622629149964
"Bryaninops erythrops";1362,8364;-0,0163202138932668
"Bryaninops natans";1275,6104;-0,0246530483838721
"Bryaninops nexus";1317,0835;-0,0206222679138237
"Bryaninops yongei";1384,7817;-0,0143077354582046
"Caesio caerulaurea";1396,6771;-0,0132301644125335
"Caesio cuning";1441,3821;-0,00926092386644359
"Caesio lunaris";1531,5767;-0,00161443977048755
"Caesio striata";1353,7898;-0,0171592757047203
"Caesio suevica";1410,7595335467;-0,0119662774409818
"Caesio teres";1479,8058;-0,00594654932424229
"Caesio varilineata";1428,0172;-0,0104345093063913
"Caesio xanthonota";1430,9062;-0,0101798954604557
"Caesioperca lepidoptera";1345,7125;-0,0179131877015946
"Caesioperca rasor";1411,468;-0,0119030269178304
"Caesioscorpis theagenes";1183,2573;-0,0341210321847667
"Caffrogobius nudiceps";1419,6334;-0,0111763186675054
"Calamus bajonado";1313,1978;-0,0209944917944393
"Calamus brachysomus";1273,205;-0,0248908341749302
"Calamus calamus";1500,7499;-0,00417599826515884
"Calamus pennatula";1300,7495;-0,0221944147129386
"Calamus taurinus";1253,6436;-0,0268414252603176
"Callanthias australis";1542,8347;-0,000691787509624658
"Calliclinus geniguttatus";1543,4414;-0,000642256626496538
