"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus","aesthe_effect"
"Abalistes stellatus",1508.023,"Abalistes_stellatus_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Abalistes",-0.00356692737606436
"Abudefduf abdominalis",1504.3175,"Abudefduf_abdominalis_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00387686894168296
"Abudefduf bengalensis",1385.1897,"Abudefduf_bengalensis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.0142706228285484
"Abudefduf concolor",1434.8481,"Abudefduf_concolor_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00983331524251818
"Abudefduf conformis",1421.0225,"Abudefduf_conformis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.0110531070203556
"Abudefduf luridus",1587.095,"Abudefduf_luridus_J_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",0.00287145653139226
"Abudefduf notatus",1375.9985,"Abudefduf_notatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.0151093383077034
"Abudefduf saxatilis",1476.2231,"Abudefduf_saxatilis_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00625192808424701
"Abudefduf septemfasciatus",1436.0403,"Abudefduf_septemfasciatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00972868200131818
"Abudefduf sexfasciatus",1652.0703,"Abudefduf_sexfasciatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",0.00792632999384781
"Abudefduf sordidus",1363.285,"Abudefduf_sordidus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.0162787518283005
"Abudefduf sparoides",1512.7744,"Abudefduf_sparoides_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00317061539734673
"Abudefduf troschelii",1457.8928,"Abudefduf_troschelii_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00782603709396773
"Abudefduf vaigiensis",1441.3163,"Abudefduf_vaigiensis_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00926667513348674
"Abudefduf whitleyi",1478.0117,"Abudefduf_whitleyi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",-0.00609938057661542
"Acanthaluteres brownii",1489.2302,"Acanthaluteres_brownii_M_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Acanthaluteres",-0.0051467582513421
"Acanthaluteres spilomelanurus",1512.3491,"Acanthaluteres_spilomelanurus_M_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Acanthaluteres",-0.00320603870596601
"Acanthaluteres vittiger",1573.7119,"Acanthaluteres_vittiger_M_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Acanthaluteres",0.00180461921017489
"Acanthemblemaria atrata",1260.7051,"Acanthemblemaria_atrata_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.0261337900330652
"Acanthemblemaria castroi",1418.4338,"Acanthemblemaria_castroi_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.0112828189243261
"Acanthemblemaria crockeri",1361.8452,"Acanthemblemaria_crockeri_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.0164118744308892
"Acanthemblemaria hancocki",1362.3544,"Acanthemblemaria_hancocki_A_3","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.0163647781815769
"Acanthemblemaria spinosa",1322.5325,"Acanthemblemaria_spinosa_A_1","NO","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.0201021359789508
"Acanthemblemaria stephensi",1365.5676,"Acanthemblemaria_stephensi_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",-0.016067992559535
"Acanthistius cinctus",1602.2229,"Acanthistius_cinctus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",0.00406660246558555
"Acanthistius ocellatus",1396.9666,"Acanthistius_ocellatus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",-0.0132040539598937
"Acanthistius pardalotus",1310.5015,"Acanthistius_pardalotus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",-0.0212534270294738
"Acanthistius patachonicus",1382.3656,"Acanthistius_patachonicus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",-0.0145277338896199
"Acanthistius sebastoides",1315.4075,"Acanthistius_sebastoides_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",-0.0207826825625075
"Acanthistius serratus",1189.8064,"Acanthistius_serratus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Acanthistius",-0.033425671431795
"Acanthochromis polyacanthus",1499.7473,"Acanthochromis_polyacanthus_A_4","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Acanthochromis",-0.00426019036418589
"Acanthocybium solandri",1271.8778,"Acanthocybium_solandri_A_1","NO","Animalia","Chordata","Actinopteri","Scombriformes","Scombridae","Acanthocybium",-0.0250222269069902
"Acanthopagrus australis",1255.3466,"Acanthopagrus_australis_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus",-0.0266704030179994
"Acanthopagrus bifasciatus",1470.8723,"Acanthopagrus_bifasciatus_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus",-0.00670939727159827
"Acanthopagrus latus",1187.185,"Acanthopagrus_latus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus",-0.0337035421012097
"Acanthostracion polygonius",1690.079,"Acanthostracion_polygonius_J_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Acanthostracion",0.0107919113295068
"Acanthostracion quadricornis",1635.688,"Acanthostracion_quadricornis_J_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Acanthostracion",0.00667083370652687
"Acanthurus achilles",1564.5798,"Acanthurus_achilles_A_1",NA,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00107143108452296
"Acanthurus albipectoralis",1454.019,"Acanthurus_albipectoralis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.0081612309744769
"Acanthurus auranticavus",1475.0842,"Acanthurus_auranticavus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00634915981783942
"Acanthurus bahianus",1804.743,"Acanthurus_bahianus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0190617070544355
"Acanthurus bariene",1639.583,"Acanthurus_bariene_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00697047197136611
"Acanthurus blochii",1682.147,"Acanthurus_blochii_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0101992539716031
"Acanthurus chirurgus",1530.2114,"Acanthurus_chirurgus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00172679410581154
"Acanthurus chronixis",1493.023,"Acanthurus_chronixis_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00482631398161692
"Acanthurus coeruleus",1808.11,"Acanthurus_coeruleus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0192965241961831
"Acanthurus dussumieri",1591.272,"Acanthurus_dussumieri_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0032025857688301
"Acanthurus fowleri",1586.1997,"Acanthurus_fowleri_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00280036873757747
"Acanthurus gahhm",1459.8541,"Acanthurus_gahhm_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.0076566683276852
"Acanthurus grammoptilus",1640.4786,"Acanthurus_grammoptilus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00703926888294927
"Acanthurus guttatus",1604.0798,"Acanthurus_guttatus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00421252450496568
"Acanthurus leucocheilus",1572.432,"Acanthurus_leucocheilus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0017021167410717
"Acanthurus leucopareius",1469.2407,"Acanthurus_leucopareius_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00684922283099569
"Acanthurus leucosternon",1870.82,"Acanthurus_leucosternon_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0235918310063994
"Acanthurus lineatus",1917.0204,"Acanthurus_lineatus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0266651840258158
"Acanthurus maculiceps",1607.5024,"Acanthurus_maculiceps_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00448104294460825
"Acanthurus mata",1683.412,"Acanthurus_mata_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0102939583775477
