"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus"
"Abalistes stellatus",1508.023,"Abalistes_stellatus_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Abalistes"
"Abudefduf abdominalis",1504.3175,"Abudefduf_abdominalis_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf bengalensis",1385.1897,"Abudefduf_bengalensis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf concolor",1434.8481,"Abudefduf_concolor_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf conformis",1421.0225,"Abudefduf_conformis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf luridus",1587.095,"Abudefduf_luridus_J_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf notatus",1375.9985,"Abudefduf_notatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf saxatilis",1476.2231,"Abudefduf_saxatilis_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf septemfasciatus",1436.0403,"Abudefduf_septemfasciatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf sexfasciatus",1652.0703,"Abudefduf_sexfasciatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf sordidus",1363.285,"Abudefduf_sordidus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf sparoides",1512.7744,"Abudefduf_sparoides_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
"Abudefduf troschelii",1457.8928,"Abudefduf_troschelii_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf"
