"Importance","PriceCateg","UsedforAquaculture","UsedasBait","GameFish","sp_names_fishbase"
NA,"medium","never/rarely","never/rarely",0,"Abalistes stellatus"
NA,"unknown","never/rarely","never/rarely",0,"Abudefduf abdominalis"
"minor commercial","unknown","never/rarely","never/rarely",0,"Abudefduf bengalensis"
NA,"unknown","never/rarely","never/rarely",0,"Abudefduf concolor"
NA,"unknown","never/rarely","never/rarely",0,"Abudefduf conformis"
NA,NA,NA,NA,NA,"Abudefduf luridus"
"of no interest","unknown","never/rarely","never/rarely",0,"Abudefduf notatus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Abudefduf saxatilis"
"minor commercial","unknown","never/rarely","never/rarely",0,"Abudefduf septemfasciatus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Abudefduf sexfasciatus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Abudefduf sordidus"
"of no interest","unknown","never/rarely","never/rarely",0,"Abudefduf sparoides"
NA,"unknown","never/rarely","never/rarely",0,"Abudefduf troschelii"
"subsistence fisheries","unknown","never/rarely","never/rarely",0,"Abudefduf vaigiensis"
NA,"unknown","never/rarely","never/rarely",0,"Abudefduf whitleyi"
NA,"unknown","never/rarely","never/rarely",0,"Acanthaluteres brownii"
NA,"unknown","never/rarely","never/rarely",0,"Acanthaluteres spilomelanurus"
NA,"unknown","never/rarely","never/rarely",0,"Acanthaluteres vittiger"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria atrata"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria castroi"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria crockeri"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria hancocki"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria spinosa"
NA,"unknown","never/rarely","never/rarely",0,"Acanthemblemaria stephensi"
NA,"very high","never/rarely","never/rarely",0,"Acanthistius cinctus"
NA,"very high","never/rarely","never/rarely",0,"Acanthistius ocellatus"
NA,"very high","never/rarely","never/rarely",0,"Acanthistius pardalotus"
NA,"very high","never/rarely","never/rarely",0,"Acanthistius patachonicus"
"commercial","very high","never/rarely","never/rarely",1,"Acanthistius sebastoides"
NA,"very high","never/rarely","never/rarely",0,"Acanthistius serratus"
NA,"unknown","never/rarely",NA,0,"Acanthochromis polyacanthus"
"commercial","very high","never/rarely","never/rarely",1,"Acanthocybium solandri"
"commercial","very high","commercial","never/rarely",1,"Acanthopagrus australis"
"minor commercial","high","never/rarely","never/rarely",0,"Acanthopagrus bifasciatus"
NA,NA,"commercial","never/rarely",0,"Acanthopagrus latus"
"commercial","high","never/rarely","never/rarely",0,"Acanthostracion polygonius"
"minor commercial","high","never/rarely","never/rarely",0,"Acanthostracion quadricornis"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus achilles"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus albipectoralis"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus auranticavus"
NA,NA,"never/rarely","never/rarely",0,"Acanthurus bahianus"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus bariene"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus blochii"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus chirurgus"
"of no interest",NA,"never/rarely","never/rarely",0,"Acanthurus chronixis"
"minor commercial","medium","never/rarely","occasionally",0,"Acanthurus coeruleus"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus dussumieri"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus fowleri"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus gahhm"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus grammoptilus"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus guttatus"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus leucocheilus"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus leucopareius"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus leucosternon"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus lineatus"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus maculiceps"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus mata"
"subsistence fisheries","medium","never/rarely","never/rarely",0,"Acanthurus nigricans"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus nigricauda"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus nigrofuscus"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus nigroris"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus nubilus"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus olivaceus"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus pyroferus"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus reversus"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus sohal"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus tennentii"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus thompsoni"
"commercial","medium","never/rarely","never/rarely",0,"Acanthurus triostegus"
NA,"medium","never/rarely","never/rarely",0,"Acanthurus tristis"
"minor commercial","medium","never/rarely","never/rarely",0,"Acanthurus xanthopterus"
"minor commercial","very high","never/rarely","never/rarely",0,"Achoerodus gouldii"
NA,"very high","never/rarely","never/rarely",0,"Achoerodus viridis"
NA,"unknown","never/rarely","never/rarely",0,"Aetapcus maculatus"
"minor commercial","very high","never/rarely","never/rarely",1,"Aethaloperca rogaa"
NA,"very high","never/rarely","never/rarely",0,"Afurcagobius tamarensis"
NA,"unknown","never/rarely","never/rarely",0,"Aioliops brachypterus"
NA,"unknown","never/rarely","never/rarely",0,"Aioliops novaeguineae"
