"sp_name","Importance","PriceCateg","UsedforAquaculture","UsedasBait","GameFish","Fish_chips"
"Abalistes stellatus",NA,1,0,0,0,0.0833333333333333
"Abudefduf abdominalis",NA,NA,0,0,0,0
"Abudefduf bengalensis",2,NA,0,0,0,0.125
"Abudefduf concolor",NA,NA,0,0,0,0
"Abudefduf conformis",NA,NA,0,0,0,0
"Abudefduf luridus",NA,NA,NA,NA,NA,NA
"Abudefduf notatus",0,NA,0,0,0,0
"Abudefduf saxatilis",2,NA,0,0,0,0.125
"Abudefduf septemfasciatus",2,NA,0,0,0,0.125
"Abudefduf sexfasciatus",2,NA,0,0,0,0.125
"Abudefduf sordidus",2,NA,0,0,0,0.125
"Abudefduf sparoides",0,NA,0,0,0,0
"Abudefduf troschelii",NA,NA,0,0,0,0
"Abudefduf vaigiensis",1,NA,0,0,0,0.0625
"Abudefduf whitleyi",NA,NA,0,0,0,0
"Acanthaluteres brownii",NA,NA,0,0,0,0
"Acanthaluteres spilomelanurus",NA,NA,0,0,0,0
"Acanthaluteres vittiger",NA,NA,0,0,0,0
"Acanthemblemaria atrata",NA,NA,0,0,0,0
"Acanthemblemaria castroi",NA,NA,0,0,0,0
"Acanthemblemaria crockeri",NA,NA,0,0,0,0
"Acanthemblemaria hancocki",NA,NA,0,0,0,0
"Acanthemblemaria spinosa",NA,NA,0,0,0,0
"Acanthemblemaria stephensi",NA,NA,0,0,0,0
"Acanthistius cinctus",NA,3,0,0,0,0.25
"Acanthistius ocellatus",NA,3,0,0,0,0.25
"Acanthistius pardalotus",NA,3,0,0,0,0.25
"Acanthistius patachonicus",NA,3,0,0,0,0.25
"Acanthistius sebastoides",3,3,0,0,NA,0.4375
"Acanthistius serratus",NA,3,0,0,0,0.25
"Acanthochromis polyacanthus",NA,NA,0,NA,0,0
"Acanthocybium solandri",3,3,0,0,NA,0.4375
"Acanthopagrus australis",3,3,2,0,NA,0.6875
"Acanthopagrus bifasciatus",2,2,0,0,0,0.233333333333333
"Acanthopagrus latus",NA,NA,2,0,0,0.333333333333333
"Acanthostracion polygonius",3,2,0,0,0,0.283333333333333
"Acanthostracion quadricornis",2,2,0,0,0,0.233333333333333
"Acanthurus achilles",3,1,0,0,0,0.216666666666667
"Acanthurus albipectoralis",NA,1,0,0,0,0.0833333333333333
"Acanthurus auranticavus",3,1,0,0,0,0.216666666666667
"Acanthurus bahianus",NA,NA,0,0,0,0
"Acanthurus bariene",3,1,0,0,0,0.216666666666667
"Acanthurus blochii",3,1,0,0,0,0.216666666666667
"Acanthurus chirurgus",2,1,0,0,0,0.166666666666667
"Acanthurus chronixis",0,NA,0,0,0,0
"Acanthurus coeruleus",2,1,0,1,0,0.266666666666667
"Acanthurus dussumieri",2,1,0,0,0,0.166666666666667
"Acanthurus fowleri",2,1,0,0,0,0.166666666666667
"Acanthurus gahhm",NA,1,0,0,0,0.0833333333333333
"Acanthurus grammoptilus",3,1,0,0,0,0.216666666666667
"Acanthurus guttatus",3,1,0,0,0,0.216666666666667
"Acanthurus leucocheilus",NA,1,0,0,0,0.0833333333333333
"Acanthurus leucopareius",2,1,0,0,0,0.166666666666667
"Acanthurus leucosternon",2,1,0,0,0,0.166666666666667
"Acanthurus lineatus",3,1,0,0,0,0.216666666666667
"Acanthurus maculiceps",3,1,0,0,0,0.216666666666667
"Acanthurus mata",3,1,0,0,0,0.216666666666667
"Acanthurus nigricans",1,1,0,0,0,0.116666666666667
"Acanthurus nigricauda",3,1,0,0,0,0.216666666666667
"Acanthurus nigrofuscus",3,1,0,0,0,0.216666666666667
"Acanthurus nigroris",NA,1,0,0,0,0.0833333333333333
"Acanthurus nubilus",NA,1,0,0,0,0.0833333333333333
"Acanthurus olivaceus",3,1,0,0,0,0.216666666666667
"Acanthurus pyroferus",3,1,0,0,0,0.216666666666667
"Acanthurus reversus",NA,1,0,0,0,0.0833333333333333
"Acanthurus sohal",NA,1,0,0,0,0.0833333333333333
"Acanthurus tennentii",3,1,0,0,0,0.216666666666667
"Acanthurus thompsoni",NA,1,0,0,0,0.0833333333333333
"Acanthurus triostegus",3,1,0,0,0,0.216666666666667
"Acanthurus tristis",NA,1,0,0,0,0.0833333333333333
"Acanthurus xanthopterus",2,1,0,0,0,0.166666666666667
"Achoerodus gouldii",2,3,0,0,0,0.3
"Achoerodus viridis",NA,3,0,0,0,0.25
"Aetapcus maculatus",NA,NA,0,0,0,0
"Aethaloperca rogaa",2,3,0,0,NA,0.375
"Afurcagobius tamarensis",NA,3,0,0,0,0.25
"Aioliops brachypterus",NA,NA,0,0,0,0
"Aioliops novaeguineae",NA,NA,0,0,0,0
"Albula glossodonta",2,NA,0,2,NA,0.5
"Alectis ciliaris",2,1,0,0,NA,0.208333333333333
"Alectis indica",3,1,0,0,NA,0.270833333333333
"Alloclinus holderi",NA,NA,0,0,0,0
"Allomycterus pilatus",NA,NA,0,0,0,0
"Alphestes immaculatus",0,NA,0,0,0,0
"Altrichthys azurelineatus",NA,NA,0,0,0,0
"Altrichthys curatus",NA,NA,0,0,0,0
"Aluterus scriptus",NA,NA,0,0,NA,0
"Amanses scopas",2,NA,0,0,0,0.125
"Ambassis jacksoniensis",NA,0,0,0,0,0
"Amblycirrhitus bimacula",NA,NA,0,0,0,0
"Amblycirrhitus earnshawi",NA,NA,0,0,0,0
"Amblycirrhitus pinos",NA,NA,0,0,0,0
"Amblyeleotris fasciata",NA,3,NA,NA,0,0.5
"Amblyeleotris guttata",NA,3,0,0,0,0.25
"Amblyeleotris gymnocephala",0,NA,0,0,0,0
"Amblyeleotris japonica",NA,3,NA,NA,0,0.5
