"max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","sp_name"
60,3.4,25.73175,30.9635,"benthic invertivore","demersal","day","sand","Abalistes stellatus"
30,3,25.7133,27.3996,"planktivore","demersal","day","coral","Abudefduf abdominalis"
17,3.1,24.471725,31.533,"planktivore","demersal","day","coral","Abudefduf bengalensis"
19,2.7,27.6948,29.9396,"planktivore","demersal","day","coral","Abudefduf concolor"
13.1,2.8,28.8402,31.67015,"planktivore","demersal","day","coral","Abudefduf conformis"
15,3.5,21.44195,24.585,"planktivore","demersal","day","rock","Abudefduf luridus"
17,2.7,26.18385,30.3528,"planktivore","demersal","day","coral","Abudefduf notatus"
22.9,3.4,26.591975,30.93295,"planktivore","demersal","day","coral","Abudefduf saxatilis"
23,3,27.5349,31.655,"planktivore","demersal","day","coral","Abudefduf septemfasciatus"
16,2.4,24.792,31.121,"planktivore","demersal","day","coral","Abudefduf sexfasciatus"
23,2.8,24.901625,31.18625,"planktivore","demersal","day","coral","Abudefduf sordidus"
16,3,27.653,30.052,"planktivore","demersal","day","coral","Abudefduf sparoides"
20,3,25.586,30.399,"planktivore","demersal","day","coral","Abudefduf troschelii"
20,2.6,23.959625,31.30125,"planktivore","demersal","day","coral","Abudefduf vaigiensis"
14,2.6,24.4745,29.938,"planktivore","demersal","day","coral","Abudefduf whitleyi"
55,2.8,17.9445,22.745,"omnivore","demersal","day","rock","Acanthaluteres brownii"
14,2.9,16.4175,22.598,"omnivore","demersal","day","sand","Acanthaluteres spilomelanurus"
35,2,16.799,23.239,"omnivore","demersal","day","rock","Acanthaluteres vittiger"
5,3.3,28.233,29.75,"benthic invertivore","benthic","day","rock","Acanthemblemaria atrata"
6,3.4,23.54945,26.311,"benthic invertivore","benthic","day","rock","Acanthemblemaria castroi"
6,3.4,22.65535,29.47,"benthic invertivore","benthic","day","coral","Acanthemblemaria crockeri"
4.5,3.4,26.7425,30.292,"benthic invertivore","benthic","day","rock","Acanthemblemaria hancocki"
2.8,3.1,28.39195,30.9887,"benthic invertivore","benthic","day","coral","Acanthemblemaria spinosa"
5,3.4,26.897,27.526,"benthic invertivore","benthic","day","rock","Acanthemblemaria stephensi"
50,4.1,21.339,24.92,"higher carnivore","demersal","day","rock","Acanthistius cinctus"
64,4.1,19.89925,24.56,"higher carnivore","demersal","day","rock","Acanthistius ocellatus"
65,4.1,20.747625,24.2173,"higher carnivore","demersal","day","rock","Acanthistius pardalotus"
65,4,14.624,19.031,"higher carnivore","demersal","day","rock","Acanthistius patachonicus"
35,4,19.94,24.07,"higher carnivore","demersal","day","rock","Acanthistius sebastoides"
50,4.1,19.776425,23.2785,"higher carnivore","demersal","day","rock","Acanthistius serratus"
14,2.7,25.819,31.344,"planktivore","demersal","day","coral","Acanthochromis polyacanthus"
250,4.3,20.0823236328892,26.680104004232,"higher carnivore","pelagic non-site attached","day","water column","Acanthocybium solandri"
66,3.1,20.237,25.203,"benthic invertivore","demersal","day","rock","Acanthopagrus australis"
50,3.2,26.62595,31.7092,"benthic invertivore","demersal","day","rock","Acanthopagrus latus"
50,2,26.9614,30.3543,"benthic invertivore","demersal","day","coral","Acanthostracion polygonius"
55,3,23.8425,31.353,"benthic invertivore","demersal","day","coral","Acanthostracion quadricornis"
24,2,27.0545,30.044,"browsing herbivore","demersal","day","coral","Acanthurus achilles"
33,3.4,22.8091,29.4482,"browsing herbivore","demersal","day","coral","Acanthurus albipectoralis"
45,2,26.987,31.647,"browsing herbivore","demersal","day","coral","Acanthurus auranticavus"
38.1,2,26.5805,30.91,"browsing herbivore","demersal","day","coral","Acanthurus bahianus"
50,2,28.35565,30.543,"browsing herbivore","demersal","day","coral","Acanthurus bariene"
45,2,27.09435,30.674,"browsing herbivore","demersal","day","coral","Acanthurus blochii"
39,2,26.3255,31.063,"browsing herbivore","demersal","day","coral","Acanthurus chirurgus"
39,2,26.5805,30.91,"browsing herbivore","demersal","day","coral","Acanthurus coeruleus"
54,2,24.23425,31.1035,"browsing herbivore","demersal","day","coral","Acanthurus dussumieri"
45,2,30.31095,31.5427,"browsing herbivore","demersal","day","coral","Acanthurus fowleri"
40,2.8,27.117,30.78,"browsing herbivore","demersal","day","coral","Acanthurus gahhm"
35,2.1,26.763,32.101,"browsing herbivore","demersal","day","coral","Acanthurus grammoptilus"
26,2,26.75285,29.7826,"browsing herbivore","demersal","day","coral","Acanthurus guttatus"
45,2,27.9,31.419,"browsing herbivore","demersal","day","coral","Acanthurus leucocheilus"
24,2,24.4955,28.425,"browsing herbivore","demersal","day","coral","Acanthurus leucopareius"
54,2,28.45325,31.4635,"browsing herbivore","demersal","day","coral","Acanthurus leucosternon"
38,2,27.25235,31.3047,"browsing herbivore","demersal","day","coral","Acanthurus lineatus"
40,2,28.1027,30.95,"browsing herbivore","demersal","day","coral","Acanthurus maculiceps"
50,2.5,26.872325,31.37865,"omnivore","demersal","day","coral","Acanthurus mata"
21.3,2,27.3265,31.224,"browsing herbivore","demersal","day","coral","Acanthurus nigricans"
40,3,27.657,31.17,"browsing herbivore","demersal","day","coral","Acanthurus nigricauda"
21,2,25.4475,30.774,"browsing herbivore","demersal","day","coral","Acanthurus nigrofuscus"
25,2,26.229375,30.13175,"browsing herbivore","demersal","day","coral","Acanthurus nigroris"
26,3.4,27.274275,31.534,"browsing herbivore","demersal","day","coral","Acanthurus nubilus"
35,2.2,24.3528,31.3406,"browsing herbivore","demersal","day","coral","Acanthurus olivaceus"
25,2,27.266,31.435,"browsing herbivore","demersal","day","coral","Acanthurus pyroferus"
21.6,2.2,28.3031,29.298,"browsing herbivore","demersal","day","coral","Acanthurus reversus"
40,2,27.09775,32.0565,"browsing herbivore","demersal","day","coral","Acanthurus sohal"
31,2,29.557525,30.78105,"browsing herbivore","demersal","day","coral","Acanthurus tennentii"
27,3.4,26.87775,31.16845,"planktivore","demersal","day","coral","Acanthurus thompsoni"
27,2.8,25.9618,30.892,"browsing herbivore","demersal","day","coral","Acanthurus triostegus"
25,2.2,29.274,30.95,"browsing herbivore","demersal","day","coral","Acanthurus tristis"
70,2.9,27.382,31.518,"browsing herbivore","demersal","day","coral","Acanthurus xanthopterus"
175,3.8,17.76555,21.6491,"benthic invertivore","demersal","day","rock","Achoerodus gouldii"
100,3.7,19.6225,24.56,"benthic invertivore","demersal","day","rock","Achoerodus viridis"
22,3.5,16.8675,22.114,"benthic invertivore","benthic","day","rock","Aetapcus maculatus"
60,4.2,27.56155,31.647,"higher carnivore","demersal","day","coral","Aethaloperca rogaa"
11,3.3,16.1155,21.221,"benthic invertivore","benthic","day","sand","Afurcagobius tamarensis"
13.1549277095665,3.29247422561194,30.5165,31.176,"planktivore","benthic","day","sand","Aioliops novaeguineae"
150,3.8,23.9744,31.1789,"higher carnivore","pelagic non-site attached","day","water column","Alectis ciliaris"
165,4.09882475330289,24.7634558342676,29.918451015842,"higher carnivore","benthic","day","sand","Alectis indica"
10,3.5,17.67565,22.0513,"benthic invertivore","benthic","day","rock","Alloclinus holderi"
30,3.5,25.322725,30.19645,"benthic invertivore","demersal","day","coral","Alphestes immaculatus"
110,2.8,26.1065,31.647,"omnivore","demersal","day","coral","Aluterus scriptus"
20,2.9,26.3882,31.382,"omnivore","demersal","day","coral","Amanses scopas"
7,3.1,17.72095,23.027,"planktivore","pelagic site attached","night","sand","Ambassis jacksoniensis"
8.5,3.5,26.73645,30.5928,"benthic invertivore","benthic","day","coral","Amblycirrhitus bimacula"
9.5,3.2,27.008,30.244,"benthic invertivore","benthic","day","coral","Amblycirrhitus pinos"
8,3.3,27.4312,30.42765,"benthic invertivore","benthic","day","sand","Amblyeleotris fasciata"
11,3.4,27.1755,30.59,"benthic invertivore","benthic","day","sand","Amblyeleotris guttata"
14,3.4,26.56525,31.64625,"benthic invertivore","benthic","day","sand","Amblyeleotris gymnocephala"
7.4,3.3,23.230375,31.136,"benthic invertivore","benthic","day","sand","Amblyeleotris japonica"
11,3.4,26.7289,30.2238,"benthic invertivore","benthic","day","sand","Amblyeleotris periophthalma"
13,3.4,27.714,31.223,"benthic invertivore","benthic","day","sand","Amblyeleotris steinitzi"
10,2.83028690509739,24.842275,28.62175,"browsing herbivore","benthic","day","sand","Amblyeleotris sungami"
10,3.4,27.045,31.419,"benthic invertivore","benthic","day","sand","Amblyeleotris wheeleri"
13,2.7,27.856475,31.346,"omnivore","demersal","day","coral","Amblyglyphidodon aureus"
10,2.7,29.408,30.95,"omnivore","demersal","day","coral","Amblyglyphidodon batunai"
