"SurveyID","nb_species","aesthe_survey_pres","aesthe_survey_abund","aesthe_SR_survey","nb_sp_pos_survey","nb_sp_neg_survey"
"10000001",47,1716.3752680204,650.216031657586,2602.36394728806,7,40
"10000002",36,1906.6760346937,1461.38203853899,2464.33502634194,6,30
"10000003",26,1906.88693352526,1689.89760068577,2305.75108410937,7,19
"10000004",22,1794.72974512693,1436.5623307319,2228.3491786518,4,18
"10000006",26,1879.10635074116,1531.58485445616,2305.75108410937,5,21
"10000007",14,1824.62919320877,1687.96686861374,2031.70713799962,2,12
"10000008",11,1839.7204177948,1792.95020634482,1933.98659929558,1,10
"10000009",12,1668.33241852466,1246.51338438794,1968.69006049611,3,9
"10000010",12,1823.64631809646,1620.99474345434,1968.69006049611,2,10
"10000011",17,1825.91576043503,1292.35277980529,2113.95669457394,2,15
"10000012",14,1828.86351035815,1613.2072000376,2031.70713799962,3,11
"10000013",28,1975.45302094827,1581.58353218268,2340.94327947849,5,23
"10000014",34,1905.4196025513,1562.54502451919,2435.71163614839,6,28
"10000015",24,1860.80866207597,1529.57614956021,2268.33468283819,6,18
"10000016",17,1694.11234350228,1351.72982271166,2113.95669457394,3,14
"10000017",24,1953.86612760003,1656.65579431437,2268.33468283819,4,20
"10000018",24,1860.48219808173,1457.33643700985,2268.33468283819,4,20
"10000019",22,2029.0387647882,1940.08243940734,2228.3491786518,6,16
"10000020",35,2000.29842930584,1685.23809357635,2450.1860183293,6,29
"10000021",23,1942.1481174765,1257.14609902727,2248.68783741607,4,19
"10000022",31,1998.07090284555,1330.62152379013,2390.15469389133,7,24
"10000023",23,1935.86858041663,1143.46144895602,2248.68783741607,4,19
"10000024",22,1892.03698802097,1457.10193636508,2228.3491786518,6,16
"10000025",23,1901.17214329471,1065.06695054845,2248.68783741607,5,18
"10000026",33,1895.03822870217,990.500645247743,2420.89448855093,9,24
"10000027",34,1879.33032608048,1538.32670646258,2435.71163614839,4,30
"10000028",27,1863.79393150102,1253.95938152253,2323.60649590586,4,23
"10000029",33,1828.62006918989,1733.11036448863,2420.89448855093,7,26
"10000030",27,2087.80410690636,2048.20697225924,2323.60649590586,9,18
"10000031",28,1989.37828008576,1511.7505442305,2340.94327947849,7,21
"10000032",30,1976.34049782605,1316.81907988627,2374.18906024059,7,23
"10000033",30,1985.75621545174,1401.78534932939,2374.18906024059,6,24
